MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.001347 after 800 iterations
res_norm = 0.001132 after 900 iterations
res_norm = 0.000963 after 1000 iterations
res_norm = 0.000827 after 1100 iterations
res_norm = 0.000717 after 1200 iterations
res_norm = 0.000625 after 1300 iterations
res_norm = 0.000549 after 1400 iterations
res_norm = 0.000485 after 1500 iterations
res_norm = 0.000431 after 1600 iterations
res_norm = 0.000386 after 1700 iterations
res_norm = 0.000346 after 1800 iterations
res_norm = 0.000313 after 1900 iterations
res_norm = 0.000283 after 2000 iterations
res_norm = 0.000257 after 2100 iterations
res_norm = 0.000235 after 2200 iterations
res_norm = 0.000215 after 2300 iterations
res_norm = 0.000197 after 2400 iterations
res_norm = 0.000181 after 2500 iterations
res_norm = 0.000167 after 2600 iterations
res_norm = 0.000154 after 2700 iterations
res_norm = 0.000143 after 2800 iterations
res_norm = 0.000132 after 2900 iterations
res_norm = 0.000123 after 3000 iterations
res_norm = 0.000114 after 3100 iterations
res_norm = 0.000106 after 3200 iterations
res_norm = 0.000099 after 3300 iterations
res_norm = 0.000093 after 3400 iterations
res_norm = 0.000087 after 3500 iterations
res_norm = 0.000081 after 3600 iterations
res_norm = 0.000076 after 3700 iterations
res_norm = 0.000071 after 3800 iterations
res_norm = 0.000067 after 3900 iterations
res_norm = 0.000063 after 4000 iterations
Problem solved in 4085 iterations
res_norm = 0.011592 after 100 iterations
res_norm = 0.006464 after 200 iterations
res_norm = 0.004326 after 300 iterations
res_norm = 0.003149 after 400 iterations
res_norm = 0.002407 after 500 iterations
res_norm = 0.001900 after 600 iterations
res_norm = 0.001535 after 700 iterations
res_norm = 0.001262 after 800 iterations
res_norm = 0.001052 after 900 iterations
res_norm = 0.000887 after 1000 iterations
res_norm = 0.000756 after 1100 iterations
res_norm = 0.000650 after 1200 iterations
res_norm = 0.000563 after 1300 iterations
res_norm = 0.000491 after 1400 iterations
res_norm = 0.000431 after 1500 iterations
res_norm = 0.000379 after 1600 iterations
res_norm = 0.000336 after 1700 iterations
res_norm = 0.000299 after 1800 iterations
res_norm = 0.000268 after 1900 iterations
res_norm = 0.000241 after 2000 iterations
res_norm = 0.000217 after 2100 iterations
res_norm = 0.000197 after 2200 iterations
res_norm = 0.000178 after 2300 iterations
res_norm = 0.000162 after 2400 iterations
res_norm = 0.000148 after 2500 iterations
res_norm = 0.000136 after 2600 iterations
res_norm = 0.000124 after 2700 iterations
res_norm = 0.000114 after 2800 iterations
res_norm = 0.000105 after 2900 iterations
res_norm = 0.000097 after 3000 iterations
res_norm = 0.000090 after 3100 iterations
res_norm = 0.000083 after 3200 iterations
res_norm = 0.000077 after 3300 iterations
res_norm = 0.000072 after 3400 iterations
res_norm = 0.000067 after 3500 iterations
res_norm = 0.000062 after 3600 iterations
res_norm = 0.000058 after 3700 iterations
Problem solved in 3717 iterations
res_norm = 0.011737 after 100 iterations
res_norm = 0.006527 after 200 iterations
res_norm = 0.004368 after 300 iterations
res_norm = 0.003181 after 400 iterations
res_norm = 0.002433 after 500 iterations
res_norm = 0.001922 after 600 iterations
res_norm = 0.001554 after 700 iterations
res_norm = 0.001279 after 800 iterations
res_norm = 0.001067 after 900 iterations
res_norm = 0.000902 after 1000 iterations
res_norm = 0.000769 after 1100 iterations
res_norm = 0.000662 after 1200 iterations
res_norm = 0.000574 after 1300 iterations
res_norm = 0.000502 after 1400 iterations
res_norm = 0.000441 after 1500 iterations
res_norm = 0.000390 after 1600 iterations
res_norm = 0.000346 after 1700 iterations
res_norm = 0.000309 after 1800 iterations
res_norm = 0.000277 after 1900 iterations
res_norm = 0.000250 after 2000 iterations
res_norm = 0.000226 after 2100 iterations
res_norm = 0.000204 after 2200 iterations
res_norm = 0.000186 after 2300 iterations
res_norm = 0.000169 after 2400 iterations
res_norm = 0.000155 after 2500 iterations
res_norm = 0.000142 after 2600 iterations
res_norm = 0.000130 after 2700 iterations
res_norm = 0.000119 after 2800 iterations
res_norm = 0.000109 after 2900 iterations
res_norm = 0.000101 after 3000 iterations
res_norm = 0.000093 after 3100 iterations
res_norm = 0.000086 after 3200 iterations
res_norm = 0.000079 after 3300 iterations
res_norm = 0.000073 after 3400 iterations
