MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 1 (9.13.0.2080170) 64-bit (glnxa64)
                             September 28, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
res_norm = 0.000704 after 400 iterations
res_norm = 0.000425 after 500 iterations
res_norm = 0.000270 after 600 iterations
res_norm = 0.000177 after 700 iterations
res_norm = 0.000120 after 800 iterations
res_norm = 0.000082 after 900 iterations
res_norm = 0.000058 after 1000 iterations
res_norm = 0.000041 after 1100 iterations
Problem solved in 1163 iterations
res_norm = 0.011233 after 100 iterations
res_norm = 0.002896 after 200 iterations
res_norm = 0.001264 after 300 iterations
res_norm = 0.000690 after 400 iterations
res_norm = 0.000411 after 500 iterations
res_norm = 0.000258 after 600 iterations
res_norm = 0.000168 after 700 iterations
res_norm = 0.000112 after 800 iterations
res_norm = 0.000077 after 900 iterations
res_norm = 0.000053 after 1000 iterations
res_norm = 0.000037 after 1100 iterations
Problem solved in 1131 iterations
res_norm = 0.008505 after 100 iterations
res_norm = 0.002085 after 200 iterations
res_norm = 0.000849 after 300 iterations
res_norm = 0.000417 after 400 iterations
res_norm = 0.000221 after 500 iterations
res_norm = 0.000123 after 600 iterations
res_norm = 0.000071 after 700 iterations
res_norm = 0.000042 after 800 iterations
Problem solved in 864 iterations
res_norm = 0.008296 after 100 iterations
res_norm = 0.002090 after 200 iterations
res_norm = 0.000861 after 300 iterations
res_norm = 0.000424 after 400 iterations
res_norm = 0.000225 after 500 iterations
res_norm = 0.000125 after 600 iterations
res_norm = 0.000072 after 700 iterations
res_norm = 0.000043 after 800 iterations
Problem solved in 864 iterations
res_norm = 0.007804 after 100 iterations
res_norm = 0.002129 after 200 iterations
res_norm = 0.000918 after 300 iterations
res_norm = 0.000465 after 400 iterations
res_norm = 0.000253 after 500 iterations
res_norm = 0.000144 after 600 iterations
res_norm = 0.000085 after 700 iterations
res_norm = 0.000051 after 800 iterations
res_norm = 0.000032 after 900 iterations
Problem solved in 906 iterations
res_norm = 0.008842 after 100 iterations
res_norm = 0.002171 after 200 iterations
res_norm = 0.000902 after 300 iterations
res_norm = 0.000454 after 400 iterations
res_norm = 0.000247 after 500 iterations
res_norm = 0.000140 after 600 iterations
res_norm = 0.000083 after 700 iterations
res_norm = 0.000050 after 800 iterations
Problem solved in 899 iterations
res_norm = 0.007237 after 100 iterations
res_norm = 0.002048 after 200 iterations
res_norm = 0.000883 after 300 iterations
res_norm = 0.000442 after 400 iterations
res_norm = 0.000238 after 500 iterations
res_norm = 0.000134 after 600 iterations
res_norm = 0.000078 after 700 iterations
res_norm = 0.000046 after 800 iterations
Problem solved in 882 iterations
res_norm = 0.008032 after 100 iterations
res_norm = 0.002118 after 200 iterations
